ds,y
1979-01-01,"6,357"
1979-02-01,"3,480"
1979-03-01,"11,790"
1979-04-01,"15,000"
1979-05-01,"65,923"
1979-06-01,"235,210"
1979-07-01,"414,460"
1979-08-01,"404,303"
1979-09-01,"176,600"
1979-10-01,"75,265"
1979-11-01,"32,616"
1979-12-01,"5,082"
1980-01-01,"6,156"
1980-02-01,"6,156"
1980-03-01,"8,900"
1980-04-01,"21,109"
1980-05-01,"67,903"
1980-06-01,"237,851"
1980-07-01,"446,853"
1980-08-01,"423,107"
1980-09-01,"151,586"
1980-10-01,"78,063"
1980-11-01,"22,503"
1980-12-01,"4,391"
1981-01-01,"8,964"
1981-02-01,"8,278"
1981-03-01,"15,483"
1981-04-01,"26,804"
1981-05-01,"75,907"
1981-06-01,"260,397"
1981-07-01,"571,302"
1981-08-01,"510,227"
1981-09-01,"201,982"
1981-10-01,"61,304"
1981-11-01,"37,964"
1981-12-01,"7,911"
1982-01-01,"5,368"
1982-02-01,"5,463"
1982-03-01,"9,761"
1982-04-01,"20,038"
1982-05-01,"57,529"
1982-06-01,"237,560"
1982-07-01,"529,862"
1982-08-01,"513,554"
1982-09-01,"196,896"
1982-10-01,"65,203"
1982-11-01,"18,752"
1982-12-01,"6,128"
1983-01-01,"7,183"
1983-02-01,"7,178"
1983-03-01,"12,116"
1983-04-01,"26,414"
1983-05-01,"87,249"
1983-06-01,"310,923"
1983-07-01,"689,489"
1983-08-01,"673,399"
1983-09-01,"280,628"
1983-10-01,"63,185"
1983-11-01,"39,810"
1983-12-01,"6,273"
1984-01-01,"6,468"
1984-02-01,"9,255"
1984-03-01,"12,067"
1984-04-01,"31,817"
1984-05-01,"62,456"
1984-06-01,"321,531"
1984-07-01,"628,414"
1984-08-01,"545,651"
1984-09-01,"221,746"
1984-10-01,"70,526"
1984-11-01,"29,100"
1984-12-01,"7,672"
1985-01-01,"4,720"
1985-02-01,"5,587"
1985-03-01,"12,084"
1985-04-01,"36,976"
1985-05-01,"91,914"
1985-06-01,"296,523"
1985-07-01,"487,859"
1985-08-01,"423,209"
1985-09-01,"142,337"
1985-10-01,"61,381"
1985-11-01,"36,941"
1985-12-01,"3,480"
1986-01-01,"5,442"
1986-02-01,"3,725"
1986-03-01,"10,192"
1986-04-01,"26,049"
1986-05-01,"90,992"
1986-06-01,"270,600"
1986-07-01,"465,816"
1986-08-01,"459,919"
1986-09-01,"148,825"
1986-10-01,"71,771"
1986-11-01,"18,347"
1986-12-01,"7,473"
1987-01-01,"6,541"
1987-02-01,"7,118"
1987-03-01,"8,354"
1987-04-01,"29,332"
1987-05-01,"88,708"
1987-06-01,"282,364"
1987-07-01,"501,229"
1987-08-01,"436,118"
1987-09-01,"200,384"
1987-10-01,"67,647"
1987-11-01,"25,070"
1987-12-01,"7,872"
1988-01-01,"6,306"
1988-02-01,"8,433"
1988-03-01,"10,256"
1988-04-01,"25,452"
1988-05-01,"79,954"
1988-06-01,"290,208"
1988-07-01,"583,916"
1988-08-01,"508,564"
1988-09-01,"204,186"
1988-10-01,"75,624"
1988-11-01,"18,150"
1988-12-01,"6,684"
1989-01-01,"7,524"
1989-02-01,"7,237"
1989-03-01,"12,111"
1989-04-01,"25,457"
1989-05-01,"71,760"
1989-06-01,"300,384"
1989-07-01,"586,500"
1989-08-01,"499,464"
1989-09-01,"236,284"
1989-10-01,"54,142"
1989-11-01,"13,320"
1989-12-01,"7,340"
1990-01-01,"7,286"
1990-02-01,"7,738"
1990-03-01,"14,021"
1990-04-01,"24,443"
1990-05-01,"81,628"
1990-06-01,"288,607"
1990-07-01,"627,322"
1990-08-01,"593,055"
1990-09-01,"280,411"
1990-10-01,"42,362"
1990-11-01,"16,718"
1990-12-01,"3,146"
1991-01-01,"4,936"
1991-02-01,"8,447"
1991-03-01,"10,704"
1991-04-01,"24,405"
1991-05-01,"82,333"
1991-06-01,"300,610"
1991-07-01,"646,943"
1991-08-01,"643,324"
1991-09-01,"286,582"
1991-10-01,"71,872"
1991-11-01,"9,971"
1991-12-01,"6,839"
1992-01-01,"7,177"
1992-02-01,"8,995"
1992-03-01,"20,027"
1992-04-01,"34,501"
1992-05-01,"133,553"
1992-06-01,"366,534"
1992-07-01,"647,193"
1992-08-01,"609,629"
1992-09-01,"285,958"
1992-10-01,"68,290"
1992-11-01,"12,410"
1992-12-01,"5,500"
1993-01-01,"7,080"
1993-02-01,"9,402"
1993-03-01,"14,808"
1993-04-01,"26,675"
1993-05-01,"113,148"
1993-06-01,"340,288"
1993-07-01,"626,668"
1993-08-01,"624,559"
1993-09-01,"288,356"
1993-10-01,"71,304"
1993-11-01,"11,216"
1993-12-01,"8,200"
1994-01-01,"8,625"
1994-02-01,"6,922"
1994-03-01,"17,906"
1994-04-01,"26,334"
1994-05-01,"114,236"
1994-06-01,"327,882"
1994-07-01,"666,871"
1994-08-01,"595,936"
1994-09-01,"309,585"
1994-10-01,"62,171"
1994-11-01,"8,434"
1994-12-01,"8,087"
1995-01-01,"8,441"
1995-02-01,"10,573"
1995-03-01,"16,013"
1995-04-01,"25,869"
1995-05-01,"110,206"
1995-06-01,"249,808"
1995-07-01,"552,643"
1995-08-01,"515,842"
1995-09-01,"289,248"
1995-10-01,"51,025"
1995-11-01,"7,395"
1995-12-01,"2,455"
1996-01-01,"5,227"
1996-02-01,"11,058"
1996-03-01,"12,934"
1996-04-01,"25,388"
1996-05-01,"100,027"
1996-06-01,"251,397"
1996-07-01,"515,064"
1996-08-01,"477,618"
1996-09-01,"254,310"
1996-10-01,"60,231"
1996-11-01,"2,589"
1996-12-01,"4,962"
1997-01-01,"6,591"
1997-02-01,"8,618"
1997-03-01,"11,710"
1997-04-01,"16,116"
1997-05-01,"64,446"
1997-06-01,"209,675"
1997-07-01,"517,028"
1997-08-01,"517,010"
1997-09-01,"281,018"
1997-10-01,"53,262"
1997-11-01,"15,168"
1997-12-01,"8,214"
1998-01-01,"7,481"
1998-02-01,"9,686"
1998-03-01,"13,316"
1998-04-01,"24,166"
1998-05-01,"89,146"
1998-06-01,"255,237"
1998-07-01,"540,488"
1998-08-01,"528,716"
1998-09-01,"286,602"
1998-10-01,"57,164"
1998-11-01,"12,029"
1998-12-01,"6,913"
1999-01-01,"7,050"
1999-02-01,"8,371"
1999-03-01,"13,788"
1999-04-01,"20,112"
1999-05-01,"81,002"
1999-06-01,"232,339"
1999-07-01,"526,595"
1999-08-01,"491,717"
1999-09-01,"232,246"
1999-10-01,"50,378"
1999-11-01,"13,484"
1999-12-01,"7,522"
2000-01-01,"8,118"
2000-02-01,"8,656"
2000-03-01,"12,112"
2000-04-01,"20,796"
2000-05-01,"86,594"
2000-06-01,"243,723"
2000-07-01,"514,937"
2000-08-01,"522,578"
2000-09-01,"231,886"
2000-10-01,"59,849"
2000-11-01,"11,922"
2000-12-01,"7,522"
2001-01-01,"8,380"
2001-02-01,"8,451"
2001-03-01,"13,677"
2001-04-01,"18,388"
2001-05-01,"90,692"
2001-06-01,"230,625"
2001-07-01,"490,693"
2001-08-01,"485,240"
2001-09-01,"261,525"
2001-10-01,"53,852"
2001-11-01,"15,704"
2001-12-01,"3,387"
2002-01-01,"6,171"
2002-02-01,"9,065"
2002-03-01,"9,097"
2002-04-01,"18,887"
2002-05-01,"82,027"
2002-06-01,"225,695"
2002-07-01,"585,823"
2002-08-01,"549,161"
2002-09-01,"305,959"
2002-10-01,"87,651"
2002-11-01,"17,819"
2002-12-01,"8,334"
2003-01-01,"9,321"
2003-02-01,"17,673"
2003-03-01,"12,414"
2003-04-01,"31,312"
2003-05-01,"97,852"
2003-06-01,"370,232"
2003-07-01,"490,284"
2003-08-01,"261,481"
2003-09-01,"235,172"
2003-10-01,"107,295"
2003-11-01,"20,937"
2003-12-01,"10,073"
2004-01-01,"8,647"
2004-02-01,"12,512"
2004-03-01,"16,805"
2004-04-01,"54,898"
2004-05-01,"116,163"
2004-06-01,"281,589"
2004-07-01,"541,644"
2004-08-01,"602,042"
2004-09-01,"288,378"
2004-10-01,"89,257"
2004-11-01,"11,824"
2004-12-01,"10,174"
2005-01-01,"7,444"
2005-02-01,"12,496"
2005-03-01,"16,490"
2005-04-01,"54,609"
2005-05-01,"131,566"
2005-06-01,"286,605"
2005-07-01,"561,774"
2005-08-01,"498,836"
2005-09-01,"269,149"
2005-10-01,"64,658"
2005-11-01,"11,848"
2005-12-01,"9,626"
2006-01-01,"10,009"
2006-02-01,"10,702"
2006-03-01,"12,439"
2006-04-01,"23,373"
2006-05-01,"100,842"
2006-06-01,"324,244"
2006-07-01,"587,137"
2006-08-01,"493,092"
2006-09-01,"287,424"
2006-10-01,"87,759"
2006-11-01,"16,606"
2006-12-01,"10,772"
2007-01-01,"12,167"
2007-02-01,"12,086"
2007-03-01,"26,534"
2007-04-01,"34,659"
2007-05-01,"137,220"
2007-06-01,"341,317"
2007-07-01,"621,046"
2007-08-01,"492,343"
2007-09-01,"311,589"
2007-10-01,"66,059"
2007-11-01,"18,688"
2007-12-01,"9,621"
2008-01-01,"9,324"
2008-02-01,"10,966"
2008-03-01,"13,850"
2008-04-01,"17,129"
2008-05-01,"85,554"
2008-06-01,"287,059"
2008-07-01,"523,881"
2008-08-01,"514,317"
2008-09-01,"262,782"
2008-10-01,"58,605"
2008-11-01,"16,544"
2008-12-01,"8,016"
2009-01-01,"9,800"
2009-02-01,"11,642"
2009-03-01,"10,647"
2009-04-01,"21,805"
2009-05-01,"102,993"
2009-06-01,"327,572"
2009-07-01,"603,681"
2009-08-01,"541,997"
2009-09-01,"325,257"
2009-10-01,"49,525"
2009-11-01,"15,801"
2009-12-01,"10,628"
2010-01-01,"10,005"
2010-02-01,"10,811"
2010-03-01,"14,646"
2010-04-01,"24,111"
2010-05-01,"106,316"
2010-06-01,"337,120"
2010-07-01,"673,359"
2010-08-01,"632,971"
2010-09-01,"300,275"
2010-10-01,"66,155"
2010-11-01,"13,541"
2010-12-01,"10,738"
2011-01-01,"10,887"
2011-02-01,"10,911"
2011-03-01,"12,243"
2011-04-01,"15,747"
2011-05-01,"92,755"
2011-06-01,"266,283"
2011-07-01,"512,494"
2011-08-01,"532,718"
2011-09-01,"320,813"
2011-10-01,"54,356"
2011-11-01,"13,797"
2011-12-01,"10,560"
2012-01-01,"10,318"
2012-02-01,"10,194"
2012-03-01,"12,416"
2012-04-01,"32,085"
2012-05-01,"112,055"
2012-06-01,"313,713"
2012-07-01,"630,093"
2012-08-01,"604,039"
2012-09-01,"356,975"
2012-10-01,"54,127"
2012-11-01,"16,158"
2012-12-01,"9,862"
2013-01-01,"10,836"
2013-02-01,"11,388"
2013-03-01,"15,758"
2013-04-01,"20,922"
2013-05-01,"108,998"
2013-06-01,"343,560"
2013-07-01,"645,514"
2013-08-01,"626,556"
2013-09-01,"355,471"
2013-10-01,"25,965"
2013-11-01,"14,924"
2013-12-01,"10,482"
2014-01-01,"12,111"
2014-02-01,"10,242"
2014-03-01,"13,214"
2014-04-01,"28,667"
2014-05-01,"112,187"
2014-06-01,"334,074"
2014-07-01,"699,650"
2014-08-01,"675,119"
2014-09-01,"353,497"
2014-10-01,"72,694"
2014-11-01,"15,706"
2014-12-01,"11,367"
2015-01-01,"12,087"
2015-02-01,"14,530"
2015-03-01,"18,139"
2015-04-01,"48,270"
2015-05-01,"134,741"
2015-06-01,"414,671"
2015-07-01,"689,064"
2015-08-01,"579,007"
2015-09-01,"351,388"
2015-10-01,"71,297"
2015-11-01,"19,505"
2015-12-01,"13,357"
2016-01-01,"15,674"
2016-02-01,"16,548"
2016-03-01,"21,257"
2016-04-01,"55,125"
2016-05-01,"183,925"
2016-06-01,"485,017"
2016-07-01,"818,481"
2016-08-01,"748,565"
2016-09-01,"482,592"
2016-10-01,"75,797"
2016-11-01,"30,823"
2016-12-01,"12,877"
2017-01-01,"14,690"
2017-02-01,"13,802"
2017-03-01,"19,336"
2017-04-01,"38,323"
2017-05-01,"177,787"
2017-06-01,"620,962"
2017-07-01,"1,009,665"
2017-08-01,"908,479"
2017-09-01,"389,137"
2017-10-01,"84,469"
2017-11-01,"15,594"
2017-12-01,"13,268"
2018-01-01,"12,222"
2018-02-01,"11,847"
2018-03-01,"21,758"
2018-04-01,"28,404"
2018-05-01,"195,116"
2018-06-01,"556,304"
2018-07-01,"905,959"
2018-08-01,"667,688"
2018-09-01,"434,600"
2018-10-01,"91,973"
2018-11-01,"20,657"
2018-12-01,"18,781"
2019-01-01,"13,581"
2019-02-01,"11,240"
2019-03-01,"23,989"
2019-04-01,"35,491"
2019-05-01,"167,403"
2019-06-01,"544,088"
2019-07-01,"879,711"
2019-08-01,"771,874"
2019-09-01,"488,909"
2019-10-01,"78,408"
2019-11-01,"20,008"
2019-12-01,"15,137"
2020-01-01,"13,651"
2020-02-01,"18,020"
2020-03-01,"24,377"
2020-04-01,0
2020-05-01,0
2020-06-01,"202,701"
2020-07-01,"453,977"
2020-08-01,"459,121"
2020-09-01,"343,911"
2020-10-01,"125,544"
2020-11-01,"29,366"
2020-12-01,"28,196"
2021-01-01,"23,417"
2021-02-01,"17,238"
2021-03-01,"30,976"
2021-04-01,"53,134"
2021-05-01,"175,277"
2021-06-01,"587,237"
2021-07-01,"796,868"
2021-08-01,"670,628"
2021-09-01,"533,388"
2021-10-01,"149,564"
2021-11-01,"26,300"
2021-12-01,"17,629"
