[lrno],[vesselname],[owner],[shipmanager],[operator],[flag],[dwt],[loa],[breadth],[depth]
9325439,SIERRA NEVADA HIGHWAY,Rabell Navigation Corp,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"12,851.00",183,30.2,28.8
9252228,SPLENDID ACE,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,JPN,"19,893.00",198,32.2,33.7
9367607,CANOPUS LEADER,Leo PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,NYK Line,SNG,"17,382.00",179.9,32.2,34.8
9237307,GALAXY LEADER,Galaxy Maritime Ltd,Ray Car Carriers Ltd,NYK Line,BAH,"17,127.00",189.2,32.26,30.46
9237319,GLOBAL LEADER,Global Maritime Ltd-IOM,Ray Car Carriers Ltd,NYK Line,BAH,"17,006.00",189.2,32.26,30.46
9285615,MORNING CALM,Calm Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,005.00",199.95,32.25,32.64
9403217,GLORIOUS EXPRESS,Sagittarius PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,United Ocean Ship Mgmt Pte Ltd,SNG,"17,212.00",179.9,32.2,34.8
9318462,HOEGH DELHI,Gram Car Carriers Holdings,Hoegh Fleet Services AS,Hoegh Autoliners AS,SNG,"16,890.00",199.9,32.26,32.44
9403279,HYPERION LEADER,Hyperion Maritime SA,NYK Line,Hoegh Autoliners AS,PAN,"14,381.00",190.03,28.2,29.43
9494905,LAKE FUXIAN,Fair Wind Navigation SA,Eastern Pacific Shipping Pte,CSAV,LIB,"17,245.00",199.99,32.26,34.41
9407665,HOEGH CARIBIA,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Hoegh Autoliners AS,SNG,"4,693.00",140,22.4,22.95
9293521,MIRACULOUS ACE,Miraculous Shipping Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,"19,381.00",199.97,32.26,34.8
9312834,MORNING CHORUS,OW Shipping Co Pte Ltd,Wallenius Marine Singapore Pte,EUKOR Car Carriers Inc,SNG,"21,276.00",199.99,32.26,32.64
9336074,MORNING COMPOSER,LOS International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,"21,052.00",199.97,32.26,32.64
9312822,MORNING CONCERT,Wilhelmsen Lines Car Carrier,Wilhelmsen Ship Management AS,EUKOR Car Carriers Inc,GBI,"21,500.00",199.99,32.26,32.64
9412567,TRANS LEADER,Lucretia Shipping SA,Santoku Senpaku Co Ltd,NYK Line,PAN,"15,154.00",180,30,33.52
8907606,NEKSU,Inderton Ltd SA,Natie Shipping Co Ltd,Natie Shipping Co Ltd,MGL,974,66.22,12.6,7.35
8508917,SALZGITTER,Pureza Ships SA,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,PAN,"12,077.00",172.5,29.37,28.25
8321905,PRINCE,Best Oasis Ltd,Prayati Shipping Pvt Ltd,Prayati Shipping Pvt Ltd,PAL,"15,940.00",190,32.21,30.84
9250232,ATLANTIC HIGHWAY,Eternity Maritime Shipping SA,Fukunaga Kaiun KK,Kawasaki Kisen Kaisha Ltd,PAN,"17,232.00",199.94,32.2,33.74
9283887,SAGITTARIUS LEADER,Ocean Empire Panama SA,Excel Marine Co Ltd,NYK Line,PAN,"20,098.00",199.94,32.26,34.8
9294355,TIANJIN HIGHWAY,Bullet Navigation SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"15,461.00",179.99,32.2,32.21
9676864,ARIES LEADER,Yugao Ship Holding SA,NYK Line,NYK Line,PAN,"18,808.00",199.98,35.8,38
9432907,TOKYO CAR,Roptin Shipping Inc,Zodiac Maritime Ltd,Mitsui OSK Lines Ltd,LIB,"12,352.00",182.8,31.5,31.8
8513510,CENTURY LEADER No. 5,Mandheling/Hachiuma/Nippon,Hachiuma Steamship Co Ltd,NYK Line,PAN,"15,539.00",199.94,32.21,21.85
9464455,CRONUS LEADER,NST Enterprise SA,NYK Line,NYK Line,PAN,"20,096.00",199.94,32.26,34.8
9210440,CRYSTAL RAY,Crystal Ray Shipping Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,400.00",199.98,32.26,32.64
9542295,GARDENIA ACE,Holy Tiger Navigation SA,Fuyoh Shipping Co,Mitsui OSK Lines Ltd,LIB,"15,154.00",180,30,33.52
8607749,HUDSON LEADER,Hudson River,NYK Line,NYK Line,PAN,"14,104.00",180.02,32.26,20.07
9441609,MORNING CLASSIC,Classic Ray Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,000.00",199.99,32.26,35
9177052,MOSEL ACE,Natureza Maritima SA,Wilhelmsen Ship Mgmt Sdn Bhd,Mitsui OSK Lines Ltd,PAN,"12,743.00",176.7,31.1,28
9153549,POLARIS ACE,New Polaris SA,Kansai Steamship Co Ltd,Cido Car Carrier Service Co,PAN,"15,522.00",188,31.2,30.9
8608157,HYUNDAI No. 106,Zodiac Maritime Ltd,Zodiac Maritime Ltd,Hyundai Glovis Co Ltd,LIB,"12,848.00",184.21,30.61,27.61
9267912,JASPER ARROW,Jasper Maritime Ltd-IOM,Ray Car Carriers Ltd,Kawasaki Kisen Kaisha Ltd,BAH,"21,040.00",199.94,32.25,32.72
9205976,AMERICAN HIGHWAY,Eternity Maritime Shipping SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"16,750.00",179.15,32.2,32.29
9158616,ASIAN CAPTAIN,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,KRS,"25,765.00",228.78,32.26,32.09
9448061,SEPANG EXPRESS,PCTC Express VII BV,Vroon BV,Vroon BV,PAN,"15,154.00",180,30,33.52
9323780,COLORADO HIGHWAY,Colorado Highway Panama SA,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"8,546.00",183,30.2,28.8
8905165,SWARNA BAHTERA,Jembatan Nusantara PT,Jembatan Nusantara PT,Jembatan Nusantara PT,IDA,"2,181.00",93.6,16,5.94
9114165,GLOVIS PHOENIX,Hyundai Glovis Co Ltd,Haeyoung Maritime Serv Co Ltd,Hyundai Glovis Co Ltd,KRS,"13,292.00",184.7,30.6,19.32
9326079,TRANS FUTURE 5,Feng Li Maritime Corp,Toyofuji Shipping Co Ltd,Toyofuji Shipping Co Ltd,PAN,"14,906.00",199.99,32.26,36.21
9701140,GOODWOOD,Fair Wind Navigation SA,Zodiac Maritime Ltd,Zodiac Maritime Ltd,LIB,"18,770.00",199.97,32.26,34.8
8913514,JINSEI MARU,NYK Line,Hachiuma Steamship Co Ltd,NYK Line,JPN,"17,435.00",198.6,32.2,14.3
9213818,VEGA LEADER,Aires del Mar Compania SA,Far-East Transport Co Ltd,NYK Line,PAN,"16,396.00",180,32.26,34.6
7917551,MADAME BUTTERFLY,Parsifal Shipping Pte Ltd,Wallenius Marine Singapore Pte,Wallenius Wilhelmsen Logistics,SNG,"28,223.00",198.13,32.25,31.2
8517944,H 103,Avanti Services Corp,Avanti Services Corp,Avanti Services Corp,SKN,"12,893.00",184.03,30.61,14.2
9427952,PAGNA,Pagna GmbH & Co KG,Laeisz F Schiffahrts mbH & Co,Laeisz F Schiffahrts mbH & Co,GIB,"11,315.00",182.9,31.5,31.8
8016548,MORNING CEDAR,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,KRS,"28,100.00",198,32.25,31.2
9209518,MERIDIAN ACE,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,JPN,"20,144.00",199.94,32.2,33.74
9663300,MORNING CHANT,2609 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,MAI,"20,190.00",199.98,32.26,32.64
9083988,MISAKI,Kyodogumi Kaiun,Kyodogumi Kaiun,Kyodogumi Kaiun,JPN,"1,418.00",89.5,13.5,8.08
9283875,PHOENIX LEADER,Kotobuki/Kotobuki Shipping,NYK Line,NYK Line,PAN,"20,146.00",199.94,32.26,34.8
9514987,VIKING EMERALD,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Gram & Co AS,SNG,"12,500.00",167.25,28,30.09
9391593,CSCC EUROPE,Europe Shipping Ltd,Ray Car Carriers Ltd,China Shipping Car Carrier Inc,BAH,"21,300.00",199.9,32.26,32.64
9519145,MORNING CORNELIA,Pedregal Maritime SA,Shoei Kisen Kaisha Ltd,EUKOR Car Carriers Inc,PAN,"22,746.00",199.94,32.26,34.8
9420045,HOEGH ST. PETERSBURG,Pioneer Leasing Ltd,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,"27,352.00",228.78,32.26,32.59
9477919,MORNING CAMILLA,La Darien Navegacion SA,Shoei Kisen Kaisha Ltd,EUKOR Car Carriers Inc,PAN,"22,692.00",199.94,32.26,34.8
9675585,MORNING CHERRY,Shoei Kisen/Paraiso Shipping,Shoei Kisen Kaisha Ltd,EUKOR Car Carriers Inc,PAN,"18,556.00",199.97,32.26,34.8
9539236,EMERALD ACE,White Bear Maritime Ltd,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,MAI,"18,334.00",199.99,32.26,34.52
9372810,POLARIS LEADER,Virgo PCTC Pte Ltd,United Ocean Ship Mgmt Pte Ltd,NYK Line,SNG,"17,406.00",179.9,32.2,34.8
9515474,IRIS ACE,Hilary Navigation SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,CAY,"14,349.00",187.53,28.2,19.1
8909123,SERASI I,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,IDA,"2,457.00",107.14,18.3,6.4
9233167,JEAN ANNE,Pasha Hawaii Transport Lines,Pasha Group,Pasha Group,USA,"12,561.00",176,31.04,28
9077836,TOPAZ ACE,Back-Boned Maritime,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"14,696.00",179.9,32.23,14.4
9153783,HOEGH PUSAN,Hoegh Autoliners Shpg Pte Ltd,Hoegh Autoliners AS,Hoegh Autoliners AS,SNG,"13,695.00",179.48,32.2,29.6
9515008,VIKING SEA,Gram Car Carriers Holdings,Gram & Co AS,Mitsui OSK Lines Ltd,SNG,"10,600.00",167.25,28,30.09
9442627,CHANG FA LONG,CSC RoRo Logistics Co Ltd,CSC RoRo Logistics Co Ltd,CSC RoRo Logistics Co Ltd,CHR,"6,561.00",140.5,24.4,9.92
9250220,MEDITERRANEAN HIGHWAY,Braveza Maritima SA,Wilhelmsen Ship Mgmt Sdn Bhd,Kawasaki Kisen Kaisha Ltd,PAN,"17,228.00",199.94,32.2,33.74
9554200,PRECIOUS ACE,Fornax Line Shipping SA,Mitsui OSK Lines Ltd,Nissan Motor Car Carrier,CAY,"19,045.00",199.97,32.26,34.8
9441594,GLOVIS CARAVEL,Caravel Maritime Ltd,Ray Car Carriers Ltd,Hyundai Glovis Co Ltd,BAH,"20,434.00",199.99,32.26,35
9531739,ATLAS LEADER,Kialoa Leasing/FI Kiwi Leasing,NYK Line,NYK Line,JPN,"21,323.00",199.94,32.26,34.26
9188790,VIKING CHANCE,Maple Navigation SA,OSM Ship Management Pte Ltd,UECC,SNG,"10,834.00",164,28,29.25
9668491,NEPTUNE GALENE,Aristotle Navigation Co Ltd,Neptune Lines Shipping,Neptune Lines Shipping,GRC,"11,260.00",169.55,28,30.56
9291133,CETUS LEADER,Zuijin Shipholding,NYK Line,NYK Line,PAN,"21,447.00",199.94,32.26,34.8
8319718,CENTURY HIGHWAY NO. 2,Canopus Maritime Co Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"15,509.00",185.75,32.01,14.38
8517279,GLOBAL SPIRIT,World Car Carriers Inc,Nissan Motor Car Carrier,Hoegh Autoliners AS,LIB,"16,493.00",190.53,32.26,13.29
9272890,TEXAS HIGHWAY,Kawasaki Kisen/Taiyo Nippon,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,JPN,"17,481.00",199.94,32.2,33.74
9519121,TRITON ACE,Arena Shipping SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"22,723.00",199.94,32.26,34.8
9377523,TIRRANNA,Wilhelmsen Lines Shipowning,Wilhelmsen Ship Management AS,Wallenius Wilhelmsen Logistics,NIS,"29,936.00",231.6,32.26,34.7
9166895,YU HENG XIAN FENG,NYKCOS Car Carrier Co Ltd,NYKCOS Car Carrier Co Ltd,NYKCOS Car Carrier Co Ltd,CHR,"13,418.00",180,32.26,34.5
9481075,VIKING DIAMOND,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Kawasaki Kisen Kaisha Ltd,SNG,"12,572.00",167.24,28,30.09
9335953,APHRODITE LEADER,Springwind Navigation SA,NYK Line,NYK Line,PAN,"21,443.00",199.94,32.26,34.8
9294367,GUANGZHOU HIGHWAY,Sapphire Sea Carriers SA,Kawasaki Kisen Kaisha Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"15,301.00",179.99,32.2,32.21
9663295,MORNING CAPO,2608 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,MAI,"20,139.00",199.98,32.26,32.64
9336086,MORNING CAROL,S293 International SA,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,"21,044.00",199.97,32.26,32.64
9203588,ASIAN DYNASTY,EUKOR Car Carriers Inc,Haeyoung Maritime Serv Co Ltd,EUKOR Car Carriers Inc,KRS,"21,224.00",199.95,32.26,32.09
8912663,IDM SYMEX,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,SKN,"12,763.00",183.93,30.64,30.23
9073701,SHOHJIN,Frazer Shipholding SA,NYK Line,NYK Line,PAN,"16,178.00",179.03,32.26,34.05
9477921,DEMETER LEADER,Demeter Shipping SA,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,PAN,"20,019.00",199.94,32.26,34.8
9509401,JUPITER SPIRIT,Secure Shipping Co Ltd,Nissan Motor Car Carrier,Nissan Motor Car Carrier,LIB,"13,954.00",183,30.2,28.8
9203291,ASIAN KING,NOCC Shipowning AS,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,PAN,"21,511.00",199.98,32.26,32.09
9491886,PASSERO,Passero GmbH & Co KG,Laeisz Reederei,TB Marine-Hamburg GmbH,GEU,"12,755.00",183.29,31.49,31.8
9325221,GRAND RUBY,TK Navigation Panama SA,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"18,117.00",199.9,32.26,35.8
9312470,HOEGH DETROIT,Hoegh Autoliners Shipping AS,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,"27,100.00",228.77,32.26,32.59
9267687,PROGRESS ACE,Bright Ocean Maritime SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"19,512.00",199.54,32.26,33.81
9267699,PROMINENT ACE,Aurora Car Maritime Trans SA,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,PAN,"19,550.00",199.54,32.26,33.81
9338888,PROMETHEUS LEADER,Bacchus Shipping Pte Ltd,Wilhelmsen Ship Mgmt Sdn Bhd,NYK Line,SNG,"14,382.00",190.03,28.2,29.43
8018168,TERRIER,Wilhelmsen Lines Shipowning AS,Wilhelmsen Lines Car Carrier,EUKOR Car Carriers Inc,NIS,"17,863.00",194.49,32.01,19.87
9553115,THEMIS LEADER,FPG Shipholding Panama SA,NYK Line,NYK Line,PAN,"20,037.00",199.94,32.26,34.8
8921793,SERA,Priyanka Shipping Ltd,Priyanka Shipping Ltd,Priyanka Shipping Ltd,CMR,"4,979.00",148.22,20.4,6.86
9706994,GLOVIS CROWN,KSF 26 International SA,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,MAI,"20,019.00",199.98,32.26,32.64
9325776,WESTERN HIGHWAY,Bulkstar Enterprise Co Ltd,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"12,980.00",188.03,28.2,27.41
9667344,FREMANTLE HIGHWAY,Luster Maritime/Higaki Sangyo,Shoei Kisen Kaisha Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"18,549.00",199.97,32.26,34.8
8605167,TANCRED,Wilhelmsen Lines Shipowning AS,Wilhelmsen Lines Car Carrier,EUKOR Car Carriers Inc,NIS,"15,577.00",190.05,32.26,13.75
9277838,IVORY ARROW,Ivory Maritime Ltd,Ray Car Carriers Ltd,Kawasaki Kisen Kaisha Ltd,BAH,"21,300.00",199.96,32.25,32.64
9674177,GLOVIS SUPREME,GL NV7 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,MAI,"20,138.00",199.97,35.4,33
9078567,KALIMANTAN LEADER,Salam Pacific Indonesia Lines,Salam Pacific Indonesia Lines,Salam Pacific Indonesia Lines,IDA,"4,051.00",100.29,21,18.56
9392353,MERCURY LEADER,Yamabiko Shipholding SA,NYK Line,NYK Line,PAN,"15,045.00",186.03,28.2,29.43
9279329,GRAND DOLPHIN,Dynamic Rainbow,Cido Shipping HK Co Ltd,Hoegh Autoliners AS,PAN,"18,369.00",199.99,32.26,35.8
8320779,LIBERTY,Fidelio LP,American Roll-on Roll-off,American Roll-on Roll-off,MAI,"27,609.00",199.02,32.26,31.53
9460887,MORNING CLARA,Melodia Maritime Pte Ltd,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,SNG,"18,638.00",199.9,32.26,34.52
8309581,TASCO,Wilhelmsen Lines Shipowning AS,Wilhelmsen Lines Car Carrier,Wallenius Wilhelmsen Logistics,NIS,"22,067.00",195.3,32.26,30.97
9293624,TOLEDO,Wilhelmsen Lines Car Carrier,Wilhelmsen Lines Car Carrier,Wallenius Wilhelmsen Logistics,GBI,"19,628.00",199.99,32.26,36.02
9285639,MORNING COURIER,Courier Shipping Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,053.00",199.94,32.25,32.64
8602775,MORNING MARVEL,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,KRS,"15,681.00",190.05,32.26,19.72
9021332,NEW NADA,New Nada Shipping Co Ltd,NYK Line,NYK Line,PAN,"14,274.00",180,32.2,32.67
8211514,GMT VENUS,JS Line SA,Doriko Ltd,Hyundai Glovis Co Ltd,PAN,"12,507.00",176,27,26.35
9448138,VANY RICKMERS,Onchan Navigation Ltd,Rickmers Shipmanagement-SNG,Hyundai Glovis Co Ltd,MAI,"12,300.00",182.8,31.5,31.8
9431850,HOEGH MAPUTO,Hoegh Autoliners Shipping AS,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,"12,250.00",182.8,31.5,31.8
9430519,NOCC ATLANTIC,NOCC Atlantic AS,Norwegian Car Carriers AS,Norwegian Car Carriers AS,NIS,"22,500.00",199.99,32.26,34.55
9188805,MODERN PEAK,Modern Peak,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"10,817.00",164,28,29.25
8508826,PRICILIA,Mitra Anugrah Samudra,Mitra Anugrah Samudra,Mitra Anugrah Samudra,IDA,"3,048.00",105.11,16.62,5.95
9454711,COSCO SHENGSHI,COSCOL HK Investment,COSCOL,Hyundai Glovis Co Ltd,PAN,"14,868.00",182.8,32.2,34.33
9381249,CYGNUS LEADER,Pedregal Maritime SA,Shoei Kisen Kaisha Ltd,NYK Line,PAN,"20,180.00",199.94,32.26,34.8
9326081,TRANS FUTURE 6,Feng Li/Norwich Shipping,Toyofuji Shipping Co Ltd,Toyofuji Shipping Co Ltd,PAN,"14,906.00",199.99,32.26,36.21
9114177,GLOVIS PRIME,Hyundai Glovis Co Ltd,Haeyoung Maritime Serv Co Ltd,Hyundai Glovis Co Ltd,KRS,"13,241.00",184.7,30.6,19.32
9505089,TULANE,Wilhelmsen Lines Shipowning,Wilhelmsen Ship Mgmt Sdn Bhd,Wallenius Wilhelmsen Logistics,MTA,"28,818.00",229.99,32.26,34.7
9441611,MORNING COMPASS,Compass Ray Ltd,Stamco Ship Management Co Ltd,EUKOR Car Carriers Inc,BAH,"21,000.00",199.99,32.26,35
9054119,AEGEAN LEADER,Empress Shipholding,NYK Line,NYK Line,PAN,"13,157.00",180,32.2,14.29
9483786,ARABIAN SEA,Arabian Sea,Sunship Schiffahrtskontor KG,Sunship Schiffahrtskontor KG,ABB,"13,059.00",182.8,31.5,31.8
9070474,ASIAN GLORY,Dayer Maritime Inc,Zodiac Maritime Ltd,Hyundai Glovis Co Ltd,GBI,"13,363.00",184.1,30.6,19.32
9238519,CONTINENTAL HIGHWAY,Continental Highway Shipping,Taiyo Nippon Kisen Co Ltd,Kawasaki Kisen Kaisha Ltd,PAN,"17,201.00",199.94,32.28,33.74
9051375,COUGAR ACE,MOB Cougar,Mitsui OSK Lines Ltd,Mitsui OSK Lines Ltd,SNG,"18,922.00",199.53,32.26,33.46
9402744,NEPTUNE LEADER,Opal Sea Carriers Pte Ltd,NYK Line,NYK Line,SNG,"12,853.00",183,30.2,28.8
9338890,PLUTO LEADER,Picer Marine SA,Shinme Kisen Sangyo KK,NYK Line,PAN,"14,342.00",190.03,28.2,29.43
9702431,GLOVIS SPLENDOR,GL NV12 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,MAI,"20,056.00",199.97,35.4,33
9427550,SPRING SKY,Dynamic Hitter Shipping SA,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,HKG,"9,301.00",165,26,17.75
9672416,GENIUS HIGHWAY,Genius Maritime Ltd,Ray Car Carriers Ltd,Kawasaki Kisen Kaisha Ltd,BAH,"21,000.00",199.96,32.26,35
9702417,GLOVIS SUMMIT,GL NV10 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,MAI,"20,056.00",199.97,35.4,33
9395628,VICTORY LEADER,Victory Ray Ltd,Ray Car Carriers Ltd,NYK Line,BAH,"13,363.00",189.3,32.26,33.54
9673379,HOEGH JACKSONVILLE,LH Shiplease 1 AS,Hoegh Autoliners AS,Hoegh Autoliners AS,NIS,"20,578.00",199.9,32.26,32.59
9700201,ASAKA,Japan Railway/Hyuga Kaiun,Hyuga Kaiun YK,Hyuga Kaiun YK,JPN,"2,325.00",118.03,16.6,11.99
9702405,GLOVIS SUNRISE,GL NV9 Shipping Inc,Haeyoung Maritime Serv Co Ltd,Hyundai Glovis Co Ltd,MAI,"20,056.00",199.97,35.4,33
9329461,MORNING CELLO,Tailwind Car Carriers Pte Ltd,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,SNG,"21,059.00",199.98,32.26,32.64
9674189,GLOVIS SUPERIOR,GL NV8 Shipping Inc,Hyundai Glovis Co Ltd,Hyundai Glovis Co Ltd,MAI,"20,138.00",199.97,35.4,33
9391579,SERENITY ACE,Serenity Maritime Ltd,Ray Car Carriers Ltd,Mitsui OSK Lines Ltd,BAH,"21,004.00",199.98,32.26,32.26
9293571,EMINENT ACE,Mitsui OSK Lines Ltd,MOLSHIP,Mitsui OSK Lines Ltd,JPN,"18,947.00",199.95,32.2,34.2
9181479,GRAND QUEST,Dynamic Active Marine,Cido Shipping HK Co Ltd,Cido Car Carrier Service Co,PAN,"16,702.00",179.16,32.26,34.05
9690523,HARVEST LEADER,Harvest Maritime Ltd,Ray Shipping Ltd,NYK Line,BAH,"20,941.00",199.97,35.4,36.25
9427562,SPRING WIND,Dynamic Boxer Shipping SA,Cido Shipping HK Co Ltd,Eastern Car Liner Ltd,HKG,"9,274.00",165.03,26,17.75
9441623,HOEGH ANTWERP,Antwerp Maritime Ltd,Stamco Ship Management Co Ltd,Hoegh Autoliners AS,BAH,"21,000.00",199.96,32.26,35
8513560,JK TAI SHAN,Taishan Shipping SA,JK Maritime Inc,JK Maritime Inc,PAN,"15,577.00",190.05,32.26,13.75
8822117,MM SEJATI,Nusantara Sejati,Nusantara Sejati,Nusantara Sejati,IDA,"3,559.00",120,20,13.95
7903093,HOEGH TROPICANA,Hoegh Autoliners Shipping AS,Hoegh Fleet Services AS,Hoegh Autoliners AS,NIS,"12,003.00",180.02,29.21,26.83
8017671,KIRANA,Dharma Lautan Utama PT,Dharma Lautan Utama PT,Dharma Lautan Utama PT,IDA,"3,161.00",105.78,16.62,5.92
9713882,LAKE GENEVA,Imabari Senpaku/IMA Lines,Eastern Pacific Shipping Pte,Eastern Pacific Shipping Pte,LIB,"18,770.00",199.97,32.26,34.8
7917563,MORNING SPRUCE,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,EUKOR Car Carriers Inc,KRS,"28,210.00",198,32.25,31.2
9514999,VIKING OCEAN,Gram Car Carriers Holdings,OSM Ship Management Pte Ltd,Gram & Co AS,SNG,"12,500.00",167.25,28,30.09
9702443,THERMOPYLAE,Wilhelmsen Lines Shipowning,Wilhelmsen Ship Management AS,Wallenius Wilhelmsen Logistics,MTA,"23,786.00",199.97,36.5,38.25
9650743,METIS LEADER,Cypress Maritime/Koyo Shosen,Shoei Kisen Kaisha Ltd,NYK Line,PAN,"19,013.00",199.97,32.26,34.8
9285627,MORNING CHAMPION,Champion Maritime Ltd,Ray Car Carriers Ltd,EUKOR Car Carriers Inc,BAH,"21,106.00",199.92,32.25,32.64
8701325,SERASI II,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,Toyofuji Serasi Indonesia,IDA,"2,538.00",108.01,18.41,6.02
